event,aX,aY,aZ,gX,gY,gZ
2,-0.047,-0.035,0.989,0.671,-1.343,-0.977
2,-0.038,-0.031,1.005,3.235,0.732,-0.977
2,-0.030,-0.015,1.015,4.211,2.686,-0.854
2,-0.017,-0.021,0.985,6.226,5.249,-1.404
2,-0.005,-0.026,0.985,7.507,5.737,-1.526
2,0.005,-0.045,1.007,6.897,5.188,-1.160
2,-0.001,-0.045,1.031,4.211,3.662,-0.122
2,-0.028,-0.047,1.017,2.747,3.906,-0.305
2,-0.031,-0.052,0.969,-2.563,1.770,-0.305
2,-0.020,-0.053,0.979,-1.892,-1.770,-0.610
2,-0.007,-0.064,0.983,0.427,-1.770,-0.610
2,-0.014,-0.053,0.950,3.235,-1.587,-0.183
2,-0.008,-0.021,0.996,1.770,-3.723,-0.854
2,-0.010,-0.031,0.999,-6.592,-6.165,-1.831
2,-0.028,-0.048,0.963,-8.545,-7.080,-2.136
2,-0.042,-0.057,0.984,-7.751,-9.888,-3.296
2,-0.047,-0.057,0.977,-6.653,-11.841,-2.563
2,-0.047,-0.052,0.986,-6.653,-12.878,-1.709
2,-0.046,-0.045,1.002,-7.080,-11.230,0.000
2,-0.047,-0.028,1.017,-8.057,-8.728,0.549
2,-0.050,-0.024,1.006,-9.644,-4.333,0.549
2,-0.052,-0.023,1.008,-5.676,-1.770,0.366
2,-0.053,-0.018,1.002,-3.967,-0.854,0.305
2,-0.052,-0.020,0.996,-2.686,-0.366,-0.854
2,-0.047,-0.024,0.994,-1.892,-0.488,-1.282
2,-0.038,-0.026,0.981,-0.854,-0.610,-1.343
2,-0.039,-0.028,0.974,-1.343,-2.136,-0.977
3,1.049,-0.047,-0.152,1.831,-5.493,-1.282
3,1.047,-0.045,-0.162,-0.488,-8.240,-0.549
3,1.013,-0.043,-0.179,-2.258,-8.911,-0.488
3,0.974,-0.044,-0.180,-5.737,-9.583,-0.488
3,0.961,-0.044,-0.179,-6.775,-11.108,-0.916
3,0.948,-0.035,-0.176,-6.104,-12.634,-1.160
3,0.947,-0.027,-0.176,-2.808,-15.198,-1.953
3,0.950,-0.022,-0.176,-0.916,-15.442,-2.380
3,0.952,-0.026,-0.166,2.197,-14.282,-2.991
3,0.962,-0.032,-0.141,1.587,-14.343,-3.052
3,0.971,-0.056,-0.148,-2.197,-18.188,-3.418
3,0.981,-0.061,-0.141,-0.366,-21.667,-4.028
3,0.988,-0.051,-0.156,1.221,-22.034,-4.211
3,0.990,-0.036,-0.158,2.319,-22.522,-3.418
3,1.019,-0.019,-0.127,1.587,-22.461,-2.502
3,1.061,-0.038,-0.080,-2.197,-23.621,-0.549
3,1.075,-0.053,-0.069,-4.944,-27.161,-0.244
3,1.070,-0.065,-0.083,-5.310,-28.320,-0.122
3,1.046,-0.059,-0.092,-3.296,-28.137,0.854
3,0.995,-0.041,-0.085,1.648,-28.625,0.732
3,0.992,-0.046,-0.066,1.770,-30.823,0.610
3,1.009,-0.045,-0.044,-2.930,-37.170,0.610
3,1.033,-0.025,-0.021,-5.554,-39.124,0.549
3,1.025,-0.017,-0.029,-7.507,-39.368,0.000
3,0.985,-0.031,-0.055,-6.287,-38.696,-0.244
3,0.959,-0.055,-0.034,-2.258,-38.147,-0.305
3,0.962,-0.067,-0.014,-3.418,-40.771,0.610
3,0.980,-0.082,0.005,-5.432,-44.250,1.221
3,0.978,-0.074,-0.015,-2.869,-49.194,0.793
3,0.981,-0.030,0.033,-1.160,-50.415,0.183
3,0.965,-0.025,0.053,-4.700,-49.744,0.000
3,0.962,-0.037,0.045,-9.583,-51.758,1.526
3,0.996,-0.070,0.070,-13.550,-56.091,2.441
3,0.996,-0.084,0.085,-23.926,-67.444,3.052
3,0.956,-0.103,0.076,-23.743,-68.909,2.014
3,0.944,-0.094,0.083,-19.714,-63.538,1.831
3,0.925,-0.052,0.121,-17.822,-59.387,2.197
3,0.875,-0.021,0.138,-15.015,-52.551,2.625
3,0.860,-0.021,0.150,-21.606,-52.551,3.662
3,0.906,-0.049,0.206,-22.278,-54.871,3.479
3,0.937,-0.063,0.239,-16.357,-63.171,1.526
3,0.927,-0.054,0.241,-13.855,-66.467,1.282
3,0.908,-0.021,0.201,-15.991,-62.134,3.662
3,0.909,0.038,0.165,-15.625,-55.725,4.028
3,0.945,0.015,0.237,-4.883,-44.250,2.747
3,0.972,-0.012,0.296,-1.709,-43.884,1.648
3,1.010,-0.054,0.362,-4.578,-48.218,1.709
3,1.020,-0.054,0.357,-9.949,-57.556,3.967
3,0.964,-0.028,0.287,-8.301,-57.922,5.310
3,0.898,-0.004,0.270,4.517,-47.852,5.066
3,0.916,-0.007,0.337,9.399,-39.307,1.892
3,0.964,-0.053,0.468,4.883,-41.199,1.343
3,0.967,-0.066,0.486,-4.272,-52.612,2.869
3,0.896,-0.067,0.393,-6.348,-58.350,3.906
3,0.825,-0.055,0.314,-4.089,-57.495,5.310
3,0.761,-0.012,0.299,-2.380,-51.697,5.005
3,0.779,-0.003,0.387,-4.089,-45.105,3.540
3,0.855,-0.039,0.560,-6.775,-46.936,3.296
3,0.894,-0.062,0.591,-9.460,-60.059,4.578
3,0.889,-0.044,0.570,-8.484,-68.787,7.385
3,0.834,0.006,0.465,-9.644,-67.322,8.606
3,0.813,0.012,0.424,-14.648,-57.861,8.972
3,0.821,-0.016,0.469,-16.113,-53.589,8.240
3,0.819,-0.023,0.558,-14.709,-51.208,7.263
3,0.805,-0.014,0.568,-12.878,-57.556,7.141
3,0.786,0.035,0.542,-11.719,-60.486,7.690
3,0.785,0.068,0.559,-11.169,-58.350,9.094
3,0.771,0.039,0.570,-13.916,-55.969,8.423
3,0.750,0.002,0.561,-14.832,-54.626,5.188
3,0.735,-0.019,0.608,-10.925,-55.176,3.723
3,0.735,-0.005,0.631,-6.653,-60.120,2.197
3,0.731,0.052,0.610,-8.362,-63.110,2.380
3,0.746,0.077,0.577,-14.099,-63.293,3.540
3,0.762,0.062,0.584,-12.756,-58.228,3.906
3,0.782,0.017,0.710,-9.277,-56.763,4.089
3,0.715,0.010,0.769,-4.700,-58.899,5.615
3,0.651,0.031,0.729,-4.761,-63.232,8.545
3,0.570,0.068,0.623,-5.127,-62.378,9.644
3,0.585,0.071,0.604,-6.226,-53.284,10.437
3,0.639,0.064,0.673,-4.944,-47.974,10.498
3,0.662,0.046,0.821,2.686,-43.579,9.949
3,0.655,0.050,0.847,7.751,-48.950,9.888
3,0.622,0.090,0.787,5.981,-52.490,9.949
3,0.605,0.121,0.729,-4.211,-53.833,9.827
3,0.602,0.135,0.652,-8.179,-50.964,9.216
3,0.610,0.103,0.677,-6.348,-42.725,6.592
3,0.624,0.020,0.820,-3.723,-41.565,6.042
3,0.607,0.001,0.869,-0.549,-48.584,8.667
3,0.555,0.078,0.850,-1.282,-55.725,11.169
