event,aX,aY,aZ,gX,gY,gZ
2,0.983,0.033,-0.193,2.075,-4.150,-1.160
2,0.982,0.032,-0.165,2.014,-2.686,-0.854
2,0.983,0.029,-0.164,-1.282,-0.671,-0.122
2,0.978,0.022,-0.177,-1.770,-1.343,0.671
2,0.969,0.022,-0.175,1.160,-3.906,2.686
2,0.970,0.021,-0.166,4.578,-4.456,3.540
2,0.978,0.013,-0.151,4.822,-3.723,3.235
2,0.980,0.008,-0.153,2.258,-1.526,1.648
2,0.985,0.005,-0.167,0.061,-1.465,1.038
2,0.993,0.011,-0.180,-3.357,-3.845,1.221
2,0.994,0.018,-0.179,-2.991,-3.906,1.709
2,0.988,0.019,-0.168,-1.831,-2.075,1.404
2,0.984,0.018,-0.162,-0.610,1.953,0.305
2,0.974,0.014,-0.158,-0.916,2.502,0.000
2,0.972,0.013,-0.155,-1.160,1.770,-0.244
2,0.976,0.011,-0.155,-0.732,1.465,-0.244
2,0.981,0.011,-0.165,-0.549,0.671,-0.183
2,0.982,0.012,-0.170,-0.305,0.305,-0.122
2,0.980,0.014,-0.169,0.000,0.427,-0.122
2,0.982,0.016,-0.170,0.244,0.671,-0.305
2,0.986,0.016,-0.165,0.305,0.671,-0.488
2,0.986,0.009,-0.188,1.465,1.038,-0.366
2,0.982,0.011,-0.187,2.747,0.549,0.000
2,0.980,0.017,-0.162,3.540,1.038,0.122
2,0.978,0.017,-0.159,2.808,2.136,-0.244
2,0.972,0.018,-0.161,1.709,2.075,-0.610
2,0.974,0.019,-0.164,0.000,1.648,-0.793
2,0.982,0.015,-0.174,-0.610,1.465,-0.671
2,0.982,0.015,-0.177,-0.366,1.343,-0.366
2,0.979,0.013,-0.179,1.221,2.075,-0.183
2,0.977,0.017,-0.173,1.770,2.747,-0.427
2,0.977,0.021,-0.173,1.526,3.479,-0.244
2,0.977,0.018,-0.182,0.671,3.601,-0.366
2,0.977,0.010,-0.193,-0.244,3.174,-0.610
2,0.977,0.008,-0.189,0.610,1.221,0.549
2,0.980,0.013,-0.171,1.282,0.854,0.854
2,0.983,0.017,-0.172,1.709,1.648,0.610
2,0.983,0.018,-0.184,1.465,1.770,0.427
2,0.982,0.018,-0.184,0.488,1.831,0.244
2,0.983,0.014,-0.177,-0.183,2.319,0.183
2,0.983,0.008,-0.197,-0.366,2.014,0.183
2,0.981,0.011,-0.184,1.221,-1.221,0.244
2,0.980,0.020,-0.163,0.793,-0.671,0.183
3,0.984,0.010,-0.148,0.854,-0.977,0.305
3,0.980,0.009,-0.155,0.854,-1.648,-0.305
3,0.981,0.009,-0.143,0.977,-1.526,-0.488
3,0.985,0.005,-0.146,1.465,-1.038,-0.488
3,0.986,0.001,-0.153,1.709,-2.686,-0.427
3,0.991,0.003,-0.134,0.854,-4.456,-0.549
3,0.987,0.010,-0.137,-2.747,-2.136,-0.488
3,0.981,0.006,-0.155,-3.174,-1.648,-0.305
3,0.976,0.003,-0.149,-0.793,-2.197,0.000
3,0.979,0.005,-0.117,0.732,-1.282,-0.061
3,0.988,0.002,-0.133,1.038,-0.244,0.061
3,0.990,0.004,-0.139,-0.610,-1.953,0.305
3,0.988,0.007,-0.148,-1.160,-2.258,0.244
3,0.983,0.005,-0.153,-1.770,-2.930,0.000
3,0.977,0.001,-0.156,-1.343,-3.540,-0.061
3,0.977,-0.004,-0.142,-0.549,-5.371,0.305
3,0.978,-0.004,-0.129,-1.038,-4.883,1.099
3,0.980,0.003,-0.124,-1.282,-2.869,0.977
3,0.978,0.004,-0.143,-3.174,0.916,0.427
3,0.965,0.006,-0.177,-4.211,1.465,0.610
